Year,Causes,Value
2018,Air Pollution,25627
2019,Air Pollution,25358
1990,Air Pollution,57
1991,Air Pollution,58
1992,Air Pollution,58
1993,Air Pollution,58
1994,Air Pollution,58
1995,Air Pollution,58
1996,Air Pollution,58
1997,Air Pollution,56
1998,Air Pollution,56
1999,Air Pollution,56
2000,Air Pollution,54
2001,Air Pollution,54
2002,Air Pollution,56
2003,Air Pollution,58
2004,Air Pollution,58
2005,Air Pollution,58
2006,Air Pollution,60
2007,Air Pollution,58
2008,Air Pollution,59
2009,Air Pollution,60
2010,Air Pollution,58
2011,Air Pollution,58
2012,Air Pollution,60
2013,Air Pollution,60
2014,Air Pollution,61
2015,Air Pollution,63
2016,Air Pollution,66
2017,Air Pollution,69
2018,Air Pollution,70
2019,Air Pollution,71
1990,Air Pollution,19563
1991,Air Pollution,19111
1992,Air Pollution,18884
1993,Air Pollution,18779
1994,Air Pollution,18664
1995,Air Pollution,18660
1996,Air Pollution,18580
1997,Air Pollution,18556
1998,Air Pollution,18694
1999,Air Pollution,19079
2000,Air Pollution,19693
2001,Air Pollution,20138
2002,Air Pollution,20508
2003,Air Pollution,20663
2004,Air Pollution,21047
2005,Air Pollution,21237
2006,Air Pollution,21268
2007,Air Pollution,21113
2008,Air Pollution,20611
2009,Air Pollution,20309
2010,Air Pollution,20371
2011,Air Pollution,20108
2012,Air Pollution,19855
2013,Air Pollution,19518
2014,Air Pollution,19193
2015,Air Pollution,19012
2016,Air Pollution,18752
2017,Air Pollution,18744
2018,Air Pollution,18834
2019,Air Pollution,18775
1990,Air Pollution,2456
1991,Air Pollution,2321
1992,Air Pollution,2221
1993,Air Pollution,2154
1994,Air Pollution,2151
1995,Air Pollution,2148
1996,Air Pollution,2179
1997,Air Pollution,2169
1998,Air Pollution,2188
1999,Air Pollution,2104
2000,Air Pollution,2057
2001,Air Pollution,2014
2002,Air Pollution,1974
2003,Air Pollution,1917
2004,Air Pollution,1878
2005,Air Pollution,1815
2006,Air Pollution,1790
2007,Air Pollution,1796
2008,Air Pollution,1789
2009,Air Pollution,1755
2010,Air Pollution,1765
2011,Air Pollution,1820
2012,Air Pollution,1967
2013,Air Pollution,2118
2014,Air Pollution,2265
2015,Air Pollution,2352
2016,Air Pollution,2393
2017,Air Pollution,2434
2018,Air Pollution,2622
2019,Air Pollution,2754
1990,Air Pollution,12066
1991,Air Pollution,11876
1992,Air Pollution,11593
1993,Air Pollution,11283
1994,Air Pollution,10922
1995,Air Pollution,11042
1996,Air Pollution,10539
1997,Air Pollution,10559
1998,Air Pollution,10195
1999,Air Pollution,9778
2000,Air Pollution,9373
2001,Air Pollution,9326
2002,Air Pollution,9234
2003,Air Pollution,9280
2004,Air Pollution,9156
2005,Air Pollution,9335
2006,Air Pollution,9230
2007,Air Pollution,9293
2008,Air Pollution,8971
2009,Air Pollution,8774
2010,Air Pollution,8390
2011,Air Pollution,8197
2012,Air Pollution,7827
2013,Air Pollution,7475
2014,Air Pollution,7189
2015,Air Pollution,7260
2016,Air Pollution,6895
2017,Air Pollution,6906
2018,Air Pollution,7004
2019,Air Pollution,7156
1990,Air Pollution,3265
1991,Air Pollution,3290
1992,Air Pollution,3289
1993,Air Pollution,3291
1994,Air Pollution,3274
1995,Air Pollution,3239
1996,Air Pollution,3180
1997,Air Pollution,3107
1998,Air Pollution,3006
1999,Air Pollution,2872
2000,Air Pollution,2709
2001,Air Pollution,2694
2002,Air Pollution,2576
2003,Air Pollution,2545
2004,Air Pollution,2455
2005,Air Pollution,2289
2006,Air Pollution,2226
2007,Air Pollution,2153
2008,Air Pollution,2058
2009,Air Pollution,2000
2010,Air Pollution,1972
2011,Air Pollution,1948
2012,Air Pollution,1955
2013,Air Pollution,1906
2014,Air Pollution,1785
2015,Air Pollution,1848
2016,Air Pollution,1785
2017,Air Pollution,1782
2018,Air Pollution,1835
2019,Air Pollution,1888
1990,Air Pollution,1558
1991,Air Pollution,1604
1992,Air Pollution,1641
1993,Air Pollution,1676
1994,Air Pollution,1714
1995,Air Pollution,1748
1996,Air Pollution,1790
1997,Air Pollution,1838
1998,Air Pollution,1902
1999,Air Pollution,1952
2000,Air Pollution,1998
2001,Air Pollution,2039
2002,Air Pollution,2074
2003,Air Pollution,2111
2004,Air Pollution,2146
2005,Air Pollution,2190
2006,Air Pollution,2236
2007,Air Pollution,2264
2008,Air Pollution,2216
2009,Air Pollution,2284
2010,Air Pollution,2304
2011,Air Pollution,2386
2012,Air Pollution,2424
2013,Air Pollution,2463
2014,Air Pollution,2508
2015,Air Pollution,2535
2016,Air Pollution,2535
2017,Air Pollution,2559
2018,Air Pollution,2605
2019,Air Pollution,2640
1990,Air Pollution,32766
1991,Air Pollution,32300
1992,Air Pollution,32996
1993,Air Pollution,34100
1994,Air Pollution,35296
1995,Air Pollution,36391
1996,Air Pollution,37375
1997,Air Pollution,38481
1998,Air Pollution,39505
1999,Air Pollution,40427
2000,Air Pollution,41244
2001,Air Pollution,41788
2002,Air Pollution,42618
2003,Air Pollution,43231
2004,Air Pollution,43834
2005,Air Pollution,44283
2006,Air Pollution,44950
2007,Air Pollution,46950
2008,Air Pollution,49058
2009,Air Pollution,50106
2010,Air Pollution,50963
2011,Air Pollution,51449
2012,Air Pollution,51901
2013,Air Pollution,52317
2014,Air Pollution,52682
2015,Air Pollution,53030
2016,Air Pollution,54113
2017,Air Pollution,54478
2018,Air Pollution,55735
2019,Air Pollution,56738
1990,Air Pollution,51979
1991,Air Pollution,52245
1992,Air Pollution,54818
1993,Air Pollution,53403
1994,Air Pollution,56261
1995,Air Pollution,57129
1996,Air Pollution,61591
1997,Air Pollution,69280
1998,Air Pollution,72152
1999,Air Pollution,71258
2000,Air Pollution,74564
2001,Air Pollution,73824
2002,Air Pollution,74364
2003,Air Pollution,75009
2004,Air Pollution,74155
2005,Air Pollution,74149
2006,Air Pollution,75748
2007,Air Pollution,74381
2008,Air Pollution,73824
2009,Air Pollution,72964
2010,Air Pollution,71605
2011,Air Pollution,69316
2012,Air Pollution,67663
2013,Air Pollution,66770
2014,Air Pollution,67379
2015,Air Pollution,67493
2016,Air Pollution,66586
2017,Air Pollution,65378
2018,Air Pollution,61240
2019,Air Pollution,59801
1990,Air Pollution,3666569
1991,Air Pollution,3671877
1992,Air Pollution,3683907
1993,Air Pollution,3675807
1994,Air Pollution,3669620
1995,Air Pollution,3665029
1996,Air Pollution,3702733
1997,Air Pollution,3825461
1998,Air Pollution,3841860
1999,Air Pollution,3791210
2000,Air Pollution,3801795
2001,Air Pollution,3836528
2002,Air Pollution,3851723
2003,Air Pollution,3824704
2004,Air Pollution,3724472
2005,Air Pollution,3793627
2006,Air Pollution,3897198
2007,Air Pollution,3975260
2008,Air Pollution,4045834
2009,Air Pollution,3977277
2010,Air Pollution,3972987
2011,Air Pollution,4040819
2012,Air Pollution,4125011
2013,Air Pollution,4229144
2014,Air Pollution,4258334
2015,Air Pollution,4289206
2016,Air Pollution,4279503
2017,Air Pollution,4302018
2018,Air Pollution,4383681
2019,Air Pollution,4442618
1990,Air Pollution,37624
1991,Air Pollution,37166
1992,Air Pollution,35997
1993,Air Pollution,35323
1994,Air Pollution,35207
1995,Air Pollution,34356
1996,Air Pollution,33982
1997,Air Pollution,34176
1998,Air Pollution,34633
1999,Air Pollution,35060
2000,Air Pollution,34825
2001,Air Pollution,34053
2002,Air Pollution,33809
2003,Air Pollution,33660
2004,Air Pollution,33316
2005,Air Pollution,32802
2006,Air Pollution,32146
2007,Air Pollution,31804
2008,Air Pollution,31506
2009,Air Pollution,31418
2010,Air Pollution,31763
2011,Air Pollution,32624
2012,Air Pollution,34453
2013,Air Pollution,36040
2014,Air Pollution,37355
2015,Air Pollution,38667
2016,Air Pollution,39370
2017,Air Pollution,41424
2018,Air Pollution,43544
2019,Air Pollution,46521
1990,Air Pollution,21819
1991,Air Pollution,21854
1992,Air Pollution,22055
1993,Air Pollution,22202
1994,Air Pollution,22244
1995,Air Pollution,22510
1996,Air Pollution,22327
1997,Air Pollution,21978
1998,Air Pollution,21784
1999,Air Pollution,21507
2000,Air Pollution,21289
2001,Air Pollution,20898
2002,Air Pollution,20723
2003,Air Pollution,20666
2004,Air Pollution,20782
2005,Air Pollution,21133
2006,Air Pollution,21533
2007,Air Pollution,21769
2008,Air Pollution,22011
2009,Air Pollution,22095
2010,Air Pollution,21978
2011,Air Pollution,21934
2012,Air Pollution,21818
2013,Air Pollution,21676
2014,Air Pollution,21211
2015,Air Pollution,20354
2016,Air Pollution,19220
2017,Air Pollution,18404
2018,Air Pollution,18246
2019,Air Pollution,18207
1990,Air Pollution,3876344
1991,Air Pollution,3872187
1992,Air Pollution,3871520
1993,Air Pollution,3851864
1994,Air Pollution,3833454
1995,Air Pollution,3815939
1996,Air Pollution,3848018
1997,Air Pollution,3959484
1998,Air Pollution,3979898
1999,Air Pollution,3930545
2000,Air Pollution,3936190
2001,Air Pollution,3964477
2002,Air Pollution,3981750
2003,Air Pollution,3955036
2004,Air Pollution,3862035
2005,Air Pollution,3940194
2006,Air Pollution,4050836
2007,Air Pollution,4139581
2008,Air Pollution,4212963
2009,Air Pollution,4147891
2010,Air Pollution,4146168
2011,Air Pollution,4215550
2012,Air Pollution,4296469
2013,Air Pollution,4392592
2014,Air Pollution,4414881
2015,Air Pollution,4445631
2016,Air Pollution,4430165
2017,Air Pollution,4450045
2018,Air Pollution,4545921
2019,Air Pollution,4611479
1990,Air Pollution,32802
1991,Air Pollution,31603
1992,Air Pollution,29991
1993,Air Pollution,29392
1994,Air Pollution,28970
1995,Air Pollution,29589
1996,Air Pollution,30053
1997,Air Pollution,30389
1998,Air Pollution,31436
1999,Air Pollution,32649
2000,Air Pollution,31933
2001,Air Pollution,31511
2002,Air Pollution,31862
2003,Air Pollution,31852
2004,Air Pollution,30849
2005,Air Pollution,30031
2006,Air Pollution,28778
2007,Air Pollution,28093
2008,Air Pollution,27307
2009,Air Pollution,26527
2010,Air Pollution,25797
2011,Air Pollution,25627
2012,Air Pollution,25490
2013,Air Pollution,24732
2014,Air Pollution,24594
2015,Air Pollution,24586
2016,Air Pollution,23165
2017,Air Pollution,22451
2018,Air Pollution,23279
2019,Air Pollution,23737
1990,Air Pollution,25661
1991,Air Pollution,23961
1992,Air Pollution,23813
1993,Air Pollution,23065
1994,Air Pollution,23929
1995,Air Pollution,24927
1996,Air Pollution,25684
1997,Air Pollution,27314
1998,Air Pollution,26472
1999,Air Pollution,26987
2000,Air Pollution,27345
2001,Air Pollution,26425
2002,Air Pollution,26217
2003,Air Pollution,27207
2004,Air Pollution,27364
2005,Air Pollution,28503
2006,Air Pollution,28947
2007,Air Pollution,29153
2008,Air Pollution,30115
2009,Air Pollution,30341
2010,Air Pollution,30454
2011,Air Pollution,30758
2012,Air Pollution,30254
2013,Air Pollution,29038
2014,Air Pollution,28829
2015,Air Pollution,28166
2016,Air Pollution,28234
2017,Air Pollution,28438
2018,Air Pollution,28037
2019,Air Pollution,28295
1990,Air Pollution,1820318
1991,Air Pollution,1838302
1992,Air Pollution,1862757
1993,Air Pollution,1881365
1994,Air Pollution,1905162
1995,Air Pollution,1928874
1996,Air Pollution,1950341
1997,Air Pollution,1970860
1998,Air Pollution,1989007
1999,Air Pollution,1999914
2000,Air Pollution,2010574
2001,Air Pollution,2005161
2002,Air Pollution,2004559
2003,Air Pollution,1996233
2004,Air Pollution,1985756
2005,Air Pollution,1977569
2006,Air Pollution,1980829
2007,Air Pollution,1970718
2008,Air Pollution,1955693
2009,Air Pollution,1945380
2010,Air Pollution,1933363
2011,Air Pollution,1924053
2012,Air Pollution,1923775
2013,Air Pollution,1924474
2014,Air Pollution,1923399
2015,Air Pollution,1920233
2016,Air Pollution,1909019
2017,Air Pollution,1887213
2018,Air Pollution,1874824
2019,Air Pollution,1867579
1990,Air Pollution,76221
1991,Air Pollution,76588
1992,Air Pollution,76872
1993,Air Pollution,76828
1994,Air Pollution,76710
1995,Air Pollution,76217
1996,Air Pollution,75665
1997,Air Pollution,75098
1998,Air Pollution,74502
1999,Air Pollution,73564
2000,Air Pollution,72519
2001,Air Pollution,71211
2002,Air Pollution,70037
2003,Air Pollution,68572
2004,Air Pollution,67449
2005,Air Pollution,66957
2006,Air Pollution,66043
2007,Air Pollution,64744
2008,Air Pollution,63445
2009,Air Pollution,62292
2010,Air Pollution,61103
2011,Air Pollution,60008
2012,Air Pollution,59324
2013,Air Pollution,58387
2014,Air Pollution,57774
2015,Air Pollution,57205
2016,Air Pollution,56746
2017,Air Pollution,56413
2018,Air Pollution,56387
2019,Air Pollution,56479
1990,Air Pollution,549
1991,Air Pollution,567
1992,Air Pollution,578
1993,Air Pollution,606
1994,Air Pollution,562
1995,Air Pollution,481
1996,Air Pollution,474
1997,Air Pollution,489
1998,Air Pollution,532
1999,Air Pollution,575
2000,Air Pollution,592
2001,Air Pollution,603
2002,Air Pollution,606
2003,Air Pollution,588
2004,Air Pollution,566
2005,Air Pollution,541
2006,Air Pollution,526
2007,Air Pollution,517
2008,Air Pollution,520
2009,Air Pollution,519
2010,Air Pollution,522
2011,Air Pollution,524
2012,Air Pollution,538
2013,Air Pollution,579
2014,Air Pollution,621
2015,Air Pollution,657
2016,Air Pollution,648
2017,Air Pollution,626
2018,Air Pollution,620
2019,Air Pollution,616
1990,Air Pollution,5576
1991,Air Pollution,5388
1992,Air Pollution,5140
1993,Air Pollution,4989
1994,Air Pollution,4669
1995,Air Pollution,4602
1996,Air Pollution,4517
1997,Air Pollution,4401
1998,Air Pollution,4304
1999,Air Pollution,4203
2000,Air Pollution,4073
2001,Air Pollution,3903
2002,Air Pollution,3691
2003,Air Pollution,3392
2004,Air Pollution,3127
2005,Air Pollution,2975
2006,Air Pollution,2925
2007,Air Pollution,2920
2008,Air Pollution,2861
2009,Air Pollution,2850
2010,Air Pollution,2812
2011,Air Pollution,2698
2012,Air Pollution,2476
2013,Air Pollution,2151
2014,Air Pollution,1853
2015,Air Pollution,1653
2016,Air Pollution,1556
2017,Air Pollution,1492
2018,Air Pollution,1542
2019,Air Pollution,1518
1990,Air Pollution,7505
1991,Air Pollution,7384
1992,Air Pollution,7157
1993,Air Pollution,6925
1994,Air Pollution,6780
1995,Air Pollution,6799
1996,Air Pollution,6532
1997,Air Pollution,6340
1998,Air Pollution,6108
1999,Air Pollution,5848
2000,Air Pollution,5590
2001,Air Pollution,5274
2002,Air Pollution,5149
2003,Air Pollution,4977
2004,Air Pollution,4700
2005,Air Pollution,4520
2006,Air Pollution,4424
2007,Air Pollution,4381
2008,Air Pollution,4332
2009,Air Pollution,4350
2010,Air Pollution,4290
2011,Air Pollution,4186
2012,Air Pollution,4146
2013,Air Pollution,4042
2014,Air Pollution,3890
2015,Air Pollution,3724
2016,Air Pollution,3314
2017,Air Pollution,3038
2018,Air Pollution,3145
2019,Air Pollution,3230
1990,Air Pollution,15740
1991,Air Pollution,16229
1992,Air Pollution,16994
1993,Air Pollution,16591
1994,Air Pollution,16679
1995,Air Pollution,16778
1996,Air Pollution,16563
1997,Air Pollution,16394
1998,Air Pollution,16541
1999,Air Pollution,16059
2000,Air Pollution,15663
2001,Air Pollution,15191
2002,Air Pollution,15414
2003,Air Pollution,14963
2004,Air Pollution,15353
2005,Air Pollution,15589
2006,Air Pollution,16154
2007,Air Pollution,17072
2008,Air Pollution,18542
2009,Air Pollution,19071
2010,Air Pollution,19741
2011,Air Pollution,20262
2012,Air Pollution,20446
2013,Air Pollution,20687
2014,Air Pollution,20695
2015,Air Pollution,20489
2016,Air Pollution,20419
2017,Air Pollution,20553
2018,Air Pollution,20925
2019,Air Pollution,21390
1990,Air Pollution,18918
1991,Air Pollution,18514
1992,Air Pollution,18514
1993,Air Pollution,18333
1994,Air Pollution,18538
1995,Air Pollution,18934
1996,Air Pollution,19383
1997,Air Pollution,19223
1998,Air Pollution,19593
1999,Air Pollution,19747
2000,Air Pollution,20250
2001,Air Pollution,20552
2002,Air Pollution,20502
2003,Air Pollution,20622
2004,Air Pollution,21006
2005,Air Pollution,21381
2006,Air Pollution,20879
2007,Air Pollution,20786
2008,Air Pollution,20701
2009,Air Pollution,20319
2010,Air Pollution,20443
2011,Air Pollution,21635
2012,Air Pollution,22256
2013,Air Pollution,22908
2014,Air Pollution,24412
2015,Air Pollution,24526
2016,Air Pollution,24551
2017,Air Pollution,24068
2018,Air Pollution,24525
2019,Air Pollution,25146
1990,Air Pollution,15596
1991,Air Pollution,15689
1992,Air Pollution,16001
1993,Air Pollution,16366
1994,Air Pollution,17562
1995,Air Pollution,16890
1996,Air Pollution,16254
1997,Air Pollution,16046
1998,Air Pollution,16188
1999,Air Pollution,16032
2000,Air Pollution,15719
2001,Air Pollution,15496
2002,Air Pollution,14962
2003,Air Pollution,14431
2004,Air Pollution,14022
2005,Air Pollution,13964
2006,Air Pollution,14011
2007,Air Pollution,14160
2008,Air Pollution,14218
2009,Air Pollution,14200
2010,Air Pollution,14485
2011,Air Pollution,14690
2012,Air Pollution,14703
2013,Air Pollution,14609
2014,Air Pollution,14838
2015,Air Pollution,15098
2016,Air Pollution,15371
2017,Air Pollution,15426
2018,Air Pollution,14998
2019,Air Pollution,14952
1990,Air Pollution,88658
1991,Air Pollution,88806
1992,Air Pollution,89503
1993,Air Pollution,90240
1994,Air Pollution,91030
1995,Air Pollution,91447
1996,Air Pollution,91799
1997,Air Pollution,92368
1998,Air Pollution,92893
1999,Air Pollution,92272
2000,Air Pollution,90775
2001,Air Pollution,89400
2002,Air Pollution,89479
2003,Air Pollution,90257
2004,Air Pollution,90264
2005,Air Pollution,89443
2006,Air Pollution,90441
2007,Air Pollution,91058
2008,Air Pollution,90785
2009,Air Pollution,91828
2010,Air Pollution,91522
2011,Air Pollution,91866
2012,Air Pollution,93360
2013,Air Pollution,93511
2014,Air Pollution,92226
2015,Air Pollution,93442
2016,Air Pollution,92891
2017,Air Pollution,92044
2018,Air Pollution,91354
2019,Air Pollution,91083
1990,Air Pollution,72128
1991,Air Pollution,74209
1992,Air Pollution,75287
1993,Air Pollution,76240
1994,Air Pollution,77590
1995,Air Pollution,78569
1996,Air Pollution,79406
1997,Air Pollution,73601
1998,Air Pollution,74889
1999,Air Pollution,78901
2000,Air Pollution,77526
2001,Air Pollution,72822
2002,Air Pollution,73658
2003,Air Pollution,73745
2004,Air Pollution,75191
2005,Air Pollution,75657
2006,Air Pollution,75786
2007,Air Pollution,76345
2008,Air Pollution,76748
2009,Air Pollution,76140
2010,Air Pollution,77729
2011,Air Pollution,77208
2012,Air Pollution,75717
2013,Air Pollution,73703
2014,Air Pollution,73159
2015,Air Pollution,73679
2016,Air Pollution,75578
2017,Air Pollution,76771
2018,Air Pollution,79496
2019,Air Pollution,82100
1990,Air Pollution,2596
1991,Air Pollution,2576
1992,Air Pollution,2567
1993,Air Pollution,2545
1994,Air Pollution,2491
1995,Air Pollution,2441
1996,Air Pollution,2385
1997,Air Pollution,2313
1998,Air Pollution,2298
1999,Air Pollution,2291
2000,Air Pollution,2275
2001,Air Pollution,2245
2002,Air Pollution,2213
2003,Air Pollution,2210
2004,Air Pollution,2144
2005,Air Pollution,2108
2006,Air Pollution,2030
2007,Air Pollution,2008
2008,Air Pollution,1967
2009,Air Pollution,1996
2010,Air Pollution,2044
2011,Air Pollution,2122
2012,Air Pollution,2178
2013,Air Pollution,2215
2014,Air Pollution,2257
2015,Air Pollution,2332
2016,Air Pollution,2380
2017,Air Pollution,2412
2018,Air Pollution,2462
2019,Air Pollution,2490
1990,Air Pollution,10129
1991,Air Pollution,10242
1992,Air Pollution,10364
1993,Air Pollution,10563
1994,Air Pollution,10748
1995,Air Pollution,10897
1996,Air Pollution,11020
1997,Air Pollution,11148
1998,Air Pollution,11287
1999,Air Pollution,11337
2000,Air Pollution,11494
2001,Air Pollution,11624
2002,Air Pollution,11887
2003,Air Pollution,12012
2004,Air Pollution,12036
2005,Air Pollution,12190
2006,Air Pollution,12350
2007,Air Pollution,12525
2008,Air Pollution,12851
2009,Air Pollution,13114
2010,Air Pollution,13238
2011,Air Pollution,13304
2012,Air Pollution,13268
2013,Air Pollution,13211
2014,Air Pollution,13237
2015,Air Pollution,13352
2016,Air Pollution,13411
2017,Air Pollution,13473
2018,Air Pollution,13415
2019,Air Pollution,13472
1990,Air Pollution,0
1991,Air Pollution,0
1992,Air Pollution,0
1993,Air Pollution,0
1994,Air Pollution,0
1995,Air Pollution,0
1996,Air Pollution,0
1997,Air Pollution,0
1998,Air Pollution,0
1999,Air Pollution,0
2000,Air Pollution,0
2001,Air Pollution,0
2002,Air Pollution,0
2003,Air Pollution,0
2004,Air Pollution,0
2005,Air Pollution,0
2006,Air Pollution,0
2007,Air Pollution,0
2008,Air Pollution,0
2009,Air Pollution,0
2010,Air Pollution,0
2011,Air Pollution,0
2012,Air Pollution,0
2013,Air Pollution,0
2014,Air Pollution,0
2015,Air Pollution,0
2016,Air Pollution,0
2017,Air Pollution,0
2018,Air Pollution,0
2019,Air Pollution,0
1990,Air Pollution,129
1991,Air Pollution,128
1992,Air Pollution,126
1993,Air Pollution,126
1994,Air Pollution,126
1995,Air Pollution,123
1996,Air Pollution,122
1997,Air Pollution,124
1998,Air Pollution,130
1999,Air Pollution,135
2000,Air Pollution,132
2001,Air Pollution,129
2002,Air Pollution,128
2003,Air Pollution,127
2004,Air Pollution,122
2005,Air Pollution,117
2006,Air Pollution,118
2007,Air Pollution,119
2008,Air Pollution,121
2009,Air Pollution,121
2010,Air Pollution,122
2011,Air Pollution,121
2012,Air Pollution,119
2013,Air Pollution,118
2014,Air Pollution,115
2015,Air Pollution,113
2016,Air Pollution,111
2017,Air Pollution,108
2018,Air Pollution,106
2019,Air Pollution,104
1990,Air Pollution,1292
1991,Air Pollution,1303
1992,Air Pollution,1343
1993,Air Pollution,1416
1994,Air Pollution,1467
1995,Air Pollution,1421
1996,Air Pollution,1489
1997,Air Pollution,1445
1998,Air Pollution,1525
1999,Air Pollution,1553
2000,Air Pollution,1469
2001,Air Pollution,1465
2002,Air Pollution,1405
2003,Air Pollution,1423
2004,Air Pollution,1358
2005,Air Pollution,1320
2006,Air Pollution,1284
2007,Air Pollution,1295
2008,Air Pollution,1363
2009,Air Pollution,1320
2010,Air Pollution,1324
2011,Air Pollution,1320
2012,Air Pollution,1324
2013,Air Pollution,1426
2014,Air Pollution,1514
2015,Air Pollution,1585
2016,Air Pollution,1634
2017,Air Pollution,1649
2018,Air Pollution,1706
2019,Air Pollution,1784
1990,Air Pollution,8733
1991,Air Pollution,9019
1992,Air Pollution,9190
1993,Air Pollution,9397
1994,Air Pollution,9437
1995,Air Pollution,9921
1996,Air Pollution,10154
1997,Air Pollution,10660
1998,Air Pollution,11161
1999,Air Pollution,11562
2000,Air Pollution,11760
2001,Air Pollution,11827
2002,Air Pollution,11831
2003,Air Pollution,11819
2004,Air Pollution,11828
2005,Air Pollution,11898
2006,Air Pollution,12126
2007,Air Pollution,12436
2008,Air Pollution,12845
2009,Air Pollution,13221
2010,Air Pollution,13595
2011,Air Pollution,13758
2012,Air Pollution,13845
2013,Air Pollution,13950
2014,Air Pollution,13999
2015,Air Pollution,14096
2016,Air Pollution,14169
2017,Air Pollution,14347
2018,Air Pollution,14694
2019,Air Pollution,15104
1990,Air Pollution,78272
1991,Air Pollution,77010
1992,Air Pollution,76029
1993,Air Pollution,75584
1994,Air Pollution,75574
1995,Air Pollution,75210
1996,Air Pollution,73425
1997,Air Pollution,73240
1998,Air Pollution,71958
1999,Air Pollution,69071
2000,Air Pollution,65280
2001,Air Pollution,65892
2002,Air Pollution,67223
2003,Air Pollution,66640
2004,Air Pollution,65709
2005,Air Pollution,64741
2006,Air Pollution,66921
2007,Air Pollution,70339
2008,Air Pollution,75288
2009,Air Pollution,81347
2010,Air Pollution,84133
2011,Air Pollution,85735
2012,Air Pollution,86961
2013,Air Pollution,89402
2014,Air Pollution,91067
2015,Air Pollution,91229
2016,Air Pollution,90058
2017,Air Pollution,88697
2018,Air Pollution,87972
2019,Air Pollution,88859
1990,Air Pollution,4923
1991,Air Pollution,5179
1992,Air Pollution,5363
1993,Air Pollution,6043
1994,Air Pollution,6309
1995,Air Pollution,6300
1996,Air Pollution,6543
1997,Air Pollution,6559
1998,Air Pollution,6465
1999,Air Pollution,6258
2000,Air Pollution,6077
2001,Air Pollution,5985
2002,Air Pollution,5977
2003,Air Pollution,5863
2004,Air Pollution,5859
2005,Air Pollution,6025
2006,Air Pollution,6087
2007,Air Pollution,6214
2008,Air Pollution,6241
2009,Air Pollution,5892
2010,Air Pollution,5863
2011,Air Pollution,6130
2012,Air Pollution,6355
2013,Air Pollution,6700
2014,Air Pollution,6983
2015,Air Pollution,7188
2016,Air Pollution,7180
2017,Air Pollution,7098
2018,Air Pollution,7193
2019,Air Pollution,7221
1990,Air Pollution,25
1991,Air Pollution,24
1992,Air Pollution,23
1993,Air Pollution,22
1994,Air Pollution,21
1995,Air Pollution,20
1996,Air Pollution,19
1997,Air Pollution,18
1998,Air Pollution,18
1999,Air Pollution,18
2000,Air Pollution,17
2001,Air Pollution,16
2002,Air Pollution,15
2003,Air Pollution,14
2004,Air Pollution,14
2005,Air Pollution,13
2006,Air Pollution,12
2007,Air Pollution,12
2008,Air Pollution,12
2009,Air Pollution,11
2010,Air Pollution,10
2011,Air Pollution,10
2012,Air Pollution,10
2013,Air Pollution,9
2014,Air Pollution,8
2015,Air Pollution,8
2016,Air Pollution,8
2017,Air Pollution,8
2018,Air Pollution,8
2019,Air Pollution,8
1990,Air Pollution,48338
1991,Air Pollution,50055
1992,Air Pollution,51235
1993,Air Pollution,53024
1994,Air Pollution,54373
1995,Air Pollution,55753
1996,Air Pollution,57154
1997,Air Pollution,58243
1998,Air Pollution,59268
1999,Air Pollution,59749
2000,Air Pollution,60348
2001,Air Pollution,60760
2002,Air Pollution,60069
2003,Air Pollution,58985
2004,Air Pollution,59632
2005,Air Pollution,59526
2006,Air Pollution,58971
2007,Air Pollution,58057
2008,Air Pollution,56616
2009,Air Pollution,55837
2010,Air Pollution,56124
2011,Air Pollution,56192
2012,Air Pollution,56625
2013,Air Pollution,58315
2014,Air Pollution,59189
2015,Air Pollution,58063
2016,Air Pollution,59115
2017,Air Pollution,56436
2018,Air Pollution,56194
2019,Air Pollution,55486
1990,Air Pollution,134004
1991,Air Pollution,140409
1992,Air Pollution,145916
1993,Air Pollution,151833
1994,Air Pollution,155740
1995,Air Pollution,162638
1996,Air Pollution,156301
1997,Air Pollution,147964
1998,Air Pollution,137097
1999,Air Pollution,138920
2000,Air Pollution,140712
2001,Air Pollution,137550
2002,Air Pollution,139397
2003,Air Pollution,138447
2004,Air Pollution,139778
2005,Air Pollution,141051
2006,Air Pollution,134467
2007,Air Pollution,135983
2008,Air Pollution,134660
2009,Air Pollution,122159
2010,Air Pollution,117903
2011,Air Pollution,111973
2012,Air Pollution,109490
2013,Air Pollution,105473
2014,Air Pollution,96001
2015,Air Pollution,108868
2016,Air Pollution,97437
2017,Air Pollution,90906
2018,Air Pollution,92883
2019,Air Pollution,92315
1990,Air Pollution,1209
1991,Air Pollution,1279
1992,Air Pollution,1358
1993,Air Pollution,1443
1994,Air Pollution,1549
1995,Air Pollution,1629
1996,Air Pollution,1700
1997,Air Pollution,1765
1998,Air Pollution,1825
1999,Air Pollution,1903
2000,Air Pollution,1995
2001,Air Pollution,2039
2002,Air Pollution,2093
2003,Air Pollution,2184
2004,Air Pollution,2308
2005,Air Pollution,2388
2006,Air Pollution,2485
2007,Air Pollution,2615
2008,Air Pollution,2800
2009,Air Pollution,3052
2010,Air Pollution,3291
2011,Air Pollution,3579
2012,Air Pollution,3937
2013,Air Pollution,4315
2014,Air Pollution,4563
2015,Air Pollution,5008
2016,Air Pollution,5395
2017,Air Pollution,5814
